Time,T,Lat,Lon,Image Time,Image T,MODIS,Day/Night
2021-05-27 11:47:19+08:00,2.0739,52.43388,106.581764,2021-05-27 03:48:00+00:00,2.8100000000000023,MOD21_Terra,Day
2021-05-28 12:23:02+08:00,1.5126,52.069416,106.016937,2021-05-28 04:36:00+00:00,2.550000000000012,MOD21_Terra,Day
2021-06-02 11:07:47+08:00,2.7241,51.676987,103.875603,2021-06-02 03:12:00+00:00,5.8700000000000045,MOD21_Terra,Day
2021-06-03 11:43:30+08:00,2.4444,51.606918,104.729309,2021-06-03 03:48:00+00:00,3.890000000000043,MOD21_Terra,Day
2021-06-04 11:49:31+08:00,2.5793,51.626816,105.359306,2021-06-04 04:00:00+00:00,4.190000000000055,MOD21_Terra,Day
2021-06-05 11:21:01+08:00,7.1773,52.292931,106.244743,2021-06-05 03:36:00+00:00,6.010000000000048,MOD21_Terra,Day
2021-06-08 11:59:16+08:00,2.0659,53.357845,108.222809,2021-06-08 04:12:00+00:00,-2.9699999999999704,MOD21_Terra,Day
2021-06-10 21:35:20+08:00,2.2545,55.330997,109.405418,2021-06-10 13:36:00+00:00,0.5500000000000114,MOD21_Terra,Day
2021-06-12 11:34:09+08:00,6.0303,53.759323,109.12249,2021-06-12 03:48:00+00:00,3.590000000000032,MOD21_Terra,Day
2021-07-11 11:17:39+08:00,6.8109,52.794121,107.036064,2021-07-11 03:12:00+00:00,-1.1499999999999773,MOD21_Terra,Day
2021-07-12 11:53:29+08:00,15.5825,53.524303,108.951019,2021-07-12 04:00:00+00:00,20.010000000000048,MOD21_Terra,Day
2021-07-13 11:38:35+08:00,6.9522,55.333897,109.609436,2021-07-13 03:48:00+00:00,9.710000000000036,MOD21_Terra,Day
2021-07-15 21:51:08+08:00,7.6994,52.614914,107.276474,2021-07-15 14:00:00+00:00,8.03000000000003,MOD21_Terra,Day
2021-07-24 12:11:09+08:00,13.7547,51.580715,104.134079,2021-07-24 04:24:00+00:00,16.250000000000057,MOD21_Terra,Day
